dsa,dbms,os,cn,oops,system_design,aptitude,web_dev,overall_accuracy,attempts,improvement_rate,learning_velocity,consistency_score,weak_topic_count,readiness_score,readiness_category
70.3,79.1,64.3,63.8,65.2,45.7,76.0,65.2,66.2,1,-1.5,14.7,69.8,1,74.1,1
24.7,28.4,43.8,26.7,21.9,30.2,45.2,15.2,29.5,4,5.3,8.6,69.1,8,28.7,0
43.5,18.9,60.2,35.7,50.8,20.2,31.9,18.8,35.0,6,8.7,7.7,53.2,7,34.0,0
43.2,39.0,59.0,65.3,58.0,30.6,48.6,59.5,50.4,8,23.3,10.0,64.0,7,46.7,0
44.5,35.9,58.6,51.7,37.4,63.7,33.1,50.3,46.9,5,10.0,9.2,66.8,7,48.8,0
56.8,57.2,57.9,57.1,49.2,71.3,49.0,54.4,56.6,3,4.2,10.8,79.3,7,57.4,0
21.3,15.0,35.1,15.0,26.2,34.1,20.0,22.1,23.6,4,1.6,6.8,76.9,8,18.4,0
68.6,61.6,80.7,78.6,70.3,74.6,83.1,61.6,72.4,3,5.3,12.1,75.2,0,86.9,2
60.3,42.5,60.9,55.0,61.3,59.6,45.5,74.2,57.4,1,-0.9,15.0,70.2,4,58.7,0
42.3,40.0,59.1,55.1,62.7,30.5,34.6,66.8,48.9,8,20.1,8.9,58.9,6,47.8,0
93.9,98.2,73.2,71.0,72.9,78.1,80.9,83.8,81.5,3,4.3,12.4,70.0,0,99.1,2
59.1,48.3,15.0,70.1,50.7,31.2,29.6,35.2,42.4,4,4.1,8.6,46.4,7,44.9,0
71.2,76.2,88.5,84.1,81.3,36.9,90.4,69.4,74.8,15,24.8,8.1,48.9,1,84.0,2
53.7,48.0,38.4,29.8,44.6,45.0,22.9,38.7,40.1,15,33.4,6.7,70.1,8,39.2,0
23.7,29.9,18.6,38.9,44.4,32.5,32.2,15.0,29.4,4,3.9,7.9,70.3,8,25.5,0
95.7,73.9,55.7,82.4,73.9,45.5,82.4,56.9,70.8,1,-4.9,12.2,49.8,3,83.1,2
38.9,56.6,44.7,52.5,49.1,32.9,37.2,37.2,43.6,2,1.3,11.5,74.7,8,43.2,0
69.5,58.3,69.3,48.5,73.5,69.2,54.8,67.1,63.8,10,32.9,10.5,73.7,3,73.8,1
77.5,79.9,74.6,83.7,79.3,63.4,62.3,86.5,75.9,2,1.4,12.9,73.6,0,85.0,2
67.1,81.7,58.6,66.8,84.5,40.1,62.3,74.4,66.9,15,33.3,8.6,57.8,2,72.2,1
44.5,43.6,34.8,45.2,41.2,22.1,39.8,50.2,40.2,1,-1.1,14.3,74.4,8,39.1,0
74.6,43.1,65.3,29.3,52.5,77.2,58.8,69.2,58.8,3,-0.9,8.8,50.7,4,66.2,1
53.7,58.9,58.4,52.2,46.6,52.3,44.6,68.4,54.4,3,0.5,9.5,77.4,7,53.9,0
16.4,36.3,36.2,18.9,20.3,34.3,20.0,16.2,24.8,2,2.8,11.5,72.9,8,22.1,0
43.7,67.7,53.6,64.1,57.1,77.1,60.0,68.2,61.4,11,24.6,8.4,69.3,3,70.1,1
86.6,87.4,76.0,60.8,66.6,54.0,69.3,79.9,72.6,4,7.0,10.9,64.0,1,82.0,2
62.8,63.9,67.4,47.3,73.7,66.0,43.1,72.1,62.0,1,-1.1,15.0,66.8,2,73.2,1
78.7,73.8,55.1,67.6,69.8,29.8,71.7,65.8,64.0,2,-1.4,10.9,53.8,2,73.5,1
53.8,50.9,71.8,58.1,60.7,45.9,74.3,68.2,60.5,5,14.8,11.6,69.4,4,61.7,1
82.4,71.3,55.7,58.7,72.1,69.0,63.9,74.1,68.4,2,-1.0,11.4,74.0,2,80.7,2
54.3,58.4,46.2,47.5,53.4,37.3,27.7,22.9,43.5,8,15.0,7.9,61.3,8,42.8,0
77.1,90.2,80.6,55.6,72.0,77.4,73.9,84.4,76.4,1,-3.3,14.1,69.4,1,83.5,2
60.9,71.5,67.4,77.4,79.3,75.1,63.0,83.6,72.3,2,1.3,12.8,76.0,0,84.2,2
40.9,47.3,61.1,47.8,43.1,51.5,61.3,61.1,51.8,1,-4.4,11.6,74.9,5,49.7,0
40.3,38.9,55.6,46.3,63.2,47.9,37.9,53.3,47.9,1,-3.8,12.1,73.1,7,42.2,0
65.4,51.4,58.2,66.1,54.7,49.7,49.7,54.7,56.2,2,0.8,11.7,80.4,6,60.1,1
63.9,48.6,62.4,55.3,63.0,47.3,79.8,57.2,59.7,15,18.4,6.4,69.2,4,64.6,1
57.9,68.1,92.6,74.2,53.6,50.5,74.2,69.5,67.6,1,-2.8,14.1,59.2,3,72.1,1
77.4,60.9,96.6,77.5,87.1,90.5,84.0,88.5,82.8,1,-4.7,12.8,67.2,0,91.3,2
46.0,34.5,59.1,90.8,49.0,53.6,47.0,52.6,54.1,2,-1.4,10.2,50.7,7,49.0,0
16.3,53.1,51.9,50.3,44.3,26.6,52.1,53.5,43.5,4,7.9,10.0,57.5,8,32.2,0
40.7,52.9,36.6,30.1,42.7,39.5,47.4,37.5,40.9,5,10.5,9.4,79.2,8,42.0,0
49.8,39.6,41.4,65.9,47.9,17.4,59.9,54.8,47.1,5,5.8,7.9,55.4,7,43.3,0
60.7,64.0,69.6,76.2,70.9,48.9,83.0,54.9,66.0,1,-1.2,15.0,66.5,2,74.4,1
51.0,51.6,61.0,50.0,53.3,50.4,51.6,50.9,52.5,4,4.7,9.1,89.3,7,55.1,0
52.5,53.3,57.9,42.6,60.4,45.4,46.8,40.5,49.9,4,7.1,9.9,78.4,7,52.5,0
44.9,54.3,56.4,33.1,42.3,45.4,51.2,48.2,47.0,3,3.3,10.3,77.9,8,44.3,0
53.8,31.9,69.6,52.3,39.6,27.9,39.7,70.0,48.1,2,-0.1,10.8,51.9,6,45.0,0
56.5,15.0,38.3,32.4,43.6,19.8,40.5,45.9,36.5,6,5.5,6.9,59.0,8,34.3,0
62.0,69.4,91.0,67.6,87.0,84.7,67.5,82.3,76.4,2,-2.3,11.2,67.2,0,85.7,2
37.9,42.0,53.5,54.0,47.7,61.3,35.2,59.6,48.9,1,-1.6,13.8,70.6,7,48.4,0
89.4,73.0,66.5,81.9,48.9,62.5,70.3,30.7,65.4,2,1.2,12.4,44.4,2,80.0,2
49.5,51.5,53.7,42.8,35.9,40.1,53.3,46.1,46.6,3,2.2,9.7,80.4,8,45.3,0
58.7,66.1,64.4,70.1,57.6,69.9,58.7,53.2,62.3,1,-0.4,15.0,81.5,4,67.8,1
74.6,68.2,67.9,79.4,59.9,57.3,83.4,66.8,69.7,4,4.5,10.4,73.0,2,78.1,2
58.8,44.4,49.0,50.0,46.7,53.7,58.9,25.8,48.4,8,23.5,9.5,68.4,8,50.5,0
25.1,39.0,46.5,28.2,36.3,24.4,32.7,34.7,33.4,4,11.2,10.9,77.6,8,33.1,0
64.3,46.1,57.2,51.4,44.4,39.8,39.5,61.8,50.6,3,7.2,12.3,71.0,6,52.1,0
29.8,23.4,15.0,21.6,28.3,25.2,39.4,32.4,26.9,6,15.8,9.2,77.9,8,25.5,0
28.9,37.3,20.0,24.3,39.6,32.6,43.5,48.4,34.3,5,12.2,9.7,71.0,8,29.5,0
82.5,92.7,73.7,90.4,70.4,88.6,94.7,85.3,84.8,2,1.4,13.6,73.7,0,96.2,2
65.5,56.9,64.1,59.2,60.3,40.6,55.2,79.9,60.2,4,6.8,10.7,67.0,4,65.8,1
33.1,38.5,30.8,29.3,37.0,26.6,24.2,33.8,31.7,5,12.1,9.7,85.3,8,31.5,0
85.9,88.1,79.3,56.3,69.8,67.5,76.6,49.7,71.6,1,-2.7,14.2,59.3,2,79.9,2
32.5,37.4,56.5,23.7,39.2,44.9,43.6,23.1,37.6,2,1.9,11.9,66.5,8,35.7,0
66.0,65.3,79.9,39.0,78.2,33.5,61.9,58.3,60.3,1,-0.6,15.0,50.2,3,64.2,1
59.7,53.3,57.4,55.7,63.1,36.5,68.4,42.9,54.6,15,23.7,6.6,68.7,6,59.3,0
69.5,66.6,80.2,33.6,61.8,36.0,69.1,60.6,59.7,1,-2.1,14.6,50.7,2,66.0,1
74.9,84.8,58.3,71.7,55.5,48.7,79.1,79.1,69.0,1,-4.6,12.2,60.7,3,72.2,1
48.7,58.5,52.2,60.9,50.2,42.0,63.4,36.1,51.5,3,4.5,11.1,71.9,6,55.7,0
49.2,26.2,28.6,42.4,54.6,44.5,31.1,60.5,42.1,7,21.7,10.0,62.4,7,40.6,0
43.4,54.3,51.3,39.0,20.0,10.0,26.8,26.8,34.0,2,-1.9,9.3,53.3,8,28.7,0
71.3,63.8,83.1,56.5,60.9,62.4,47.8,44.8,61.3,6,9.1,8.8,63.2,3,68.7,1
10.0,23.6,23.0,31.6,23.1,15.9,29.4,25.0,22.7,4,2.2,7.2,79.2,8,16.4,0
59.5,69.6,27.5,57.2,65.8,43.0,55.1,71.7,56.2,4,7.4,10.3,55.8,5,55.1,0
65.0,46.9,42.9,72.1,64.5,62.0,68.5,45.9,58.5,7,18.4,9.8,65.8,3,64.5,1
47.6,72.7,44.9,73.5,38.2,65.7,59.1,45.6,55.9,1,-1.6,14.3,59.1,5,59.3,0
48.9,57.7,39.6,75.8,67.8,40.3,43.2,49.3,52.8,10,12.8,6.9,60.4,6,52.5,0
40.3,61.2,36.8,39.7,25.8,34.3,44.6,62.9,43.2,7,7.6,7.1,61.5,6,42.3,0
21.4,69.5,37.5,46.3,40.6,25.4,20.0,29.4,36.3,10,9.8,5.4,51.0,7,32.5,0
67.2,62.3,66.9,66.3,66.6,43.5,63.1,64.7,62.6,6,14.9,10.2,76.3,1,75.9,1
75.9,48.9,24.1,41.5,65.8,23.3,76.9,50.4,50.8,8,15.3,8.1,37.1,5,52.8,0
57.2,53.0,57.0,52.5,66.4,56.5,66.2,62.4,58.9,1,-0.6,15.0,83.6,5,62.4,1
50.6,56.1,56.7,52.1,50.0,41.0,59.1,50.4,52.0,2,-1.9,10.3,83.3,8,50.4,0
59.9,49.4,46.7,46.4,50.0,54.6,60.5,83.4,56.4,2,1.2,12.3,63.4,6,53.9,0
28.0,46.7,50.6,30.7,62.3,66.2,51.3,81.2,52.1,1,-4.6,11.3,46.7,5,49.0,0
38.2,79.9,45.7,54.6,64.1,40.2,45.5,36.5,50.6,5,3.5,7.5,55.2,6,50.1,0
81.0,83.3,74.8,80.8,77.3,62.1,89.6,68.1,77.1,1,-5.0,12.6,73.8,0,87.1,2
73.5,78.3,72.2,83.0,84.5,71.1,78.3,83.9,78.1,1,-4.4,13.3,83.9,0,87.1,2
90.1,73.9,77.9,87.0,89.6,69.2,69.9,48.0,75.7,6,13.5,10.7,58.0,1,90.9,2
42.8,54.9,49.0,56.4,66.4,49.7,46.2,59.0,53.0,9,13.4,7.6,77.2,7,53.9,0
63.8,65.8,32.4,64.8,51.6,39.5,53.4,77.4,56.1,6,11.6,9.1,55.5,4,61.2,1
47.3,30.8,31.5,23.1,22.8,10.0,20.0,23.6,26.1,7,22.5,9.6,67.5,8,29.9,0
65.7,79.9,46.0,51.8,53.1,63.4,76.6,74.1,63.8,4,7.3,10.7,62.3,3,74.0,1
41.1,41.0,23.8,44.8,52.9,25.8,38.8,61.1,41.2,8,15.0,7.8,62.6,7,38.4,0
33.3,29.7,33.4,60.8,27.4,47.8,20.0,21.1,34.2,3,4.4,9.9,58.7,7,34.6,0
51.9,48.5,55.2,74.6,53.5,45.9,46.7,59.5,54.5,15,45.0,9.2,72.1,7,57.1,0
59.1,79.6,71.6,96.4,89.8,67.1,86.7,87.1,79.7,1,-2.5,14.9,61.9,1,82.0,2
20.1,15.0,36.0,16.8,33.3,22.1,38.3,41.6,27.9,6,11.3,8.0,68.5,8,24.9,0
55.5,33.4,60.8,58.4,59.9,51.8,60.0,65.5,55.7,4,3.4,9.0,70.5,5,59.9,0
40.7,60.2,55.1,63.8,49.2,34.3,44.4,65.8,51.7,4,6.7,10.0,65.8,5,51.2,0
55.0,41.8,62.1,87.5,56.6,44.0,55.1,50.6,56.6,5,8.4,9.6,57.6,6,62.4,1
71.2,70.8,45.6,43.6,58.4,67.0,59.7,67.4,60.5,7,11.6,8.8,67.5,4,70.0,1
44.0,38.5,58.6,53.7,49.9,23.7,48.3,60.8,47.2,7,19.1,9.4,64.2,7,44.7,0
59.8,58.9,54.3,62.4,48.4,49.8,48.7,66.7,56.1,1,-4.2,11.7,79.4,6,52.9,0
67.0,45.5,51.7,69.6,66.8,68.2,60.1,66.2,61.9,1,-2.0,14.5,73.6,2,69.6,1
44.4,48.5,40.9,24.7,30.5,45.4,33.8,34.5,37.8,1,-2.8,12.6,75.3,8,37.9,0
26.3,40.4,38.2,40.7,42.4,34.6,29.7,48.2,37.6,1,-3.5,11.8,78.8,8,33.4,0
41.2,62.3,56.6,63.4,60.6,25.7,58.1,63.7,54.0,2,3.1,13.3,59.5,4,51.9,0
46.5,65.2,73.2,54.9,59.2,29.0,65.5,58.0,56.4,5,10.8,9.9,59.1,5,56.2,0
46.1,56.8,31.6,46.8,58.7,30.0,57.5,64.4,49.0,3,4.0,10.9,61.8,7,48.0,0
70.3,46.0,53.6,61.3,75.4,59.1,70.3,60.5,62.1,5,10.9,10.9,71.0,3,71.8,1
53.4,72.0,38.0,72.1,48.3,59.5,63.3,76.2,60.4,3,6.3,12.5,60.4,4,65.6,1
61.0,55.8,52.2,43.4,62.8,28.9,68.6,53.2,53.2,3,3.4,10.4,62.7,5,56.6,0
46.8,54.1,62.1,47.9,42.8,47.2,64.6,69.5,54.4,1,-3.4,12.8,70.5,5,54.2,0
31.7,28.7,41.6,36.7,47.1,42.0,46.0,37.2,38.9,6,17.9,9.9,80.5,8,38.8,0
27.3,25.7,25.7,32.7,27.5,10.9,34.8,35.7,27.5,5,2.2,6.2,76.5,8,23.0,0
67.6,71.4,59.1,68.5,38.4,36.8,54.3,59.8,57.0,2,3.3,13.3,60.4,5,57.3,0
84.5,54.2,59.4,48.0,62.9,73.1,76.4,56.8,64.4,2,1.2,12.5,62.8,4,75.0,1
93.7,53.3,79.7,54.5,57.0,50.9,58.5,60.6,63.5,1,-1.4,15.0,54.8,5,69.8,1
57.8,57.6,85.5,67.6,84.5,70.0,90.1,82.5,74.4,6,5.8,8.6,61.5,2,79.8,2
68.7,73.4,61.0,49.2,68.3,82.5,82.0,62.5,68.4,5,2.6,8.5,66.7,1,77.3,1
